text,category
"I can't log in to my account","Account Access"
"I forgot my password","Account Access"
"Need to reset my login","Account Access"
"Unable to access my profile","Account Access"
"My bill is wrong this month","Billing"
"I was charged twice","Billing"
"Why is my invoice so high?","Billing"
"I need a receipt for payment","Billing"
"The app crashes every time I open it","Technical Support"
"Site is not loading on my phone","Technical Support"
"Getting error 500 on checkout","Technical Support"
"I want a refund for my last purchase","Refund Request"
"Please refund my money","Refund Request"
"How do I upgrade my plan?","Feature Request"
"I'd like to suggest dark mode","Feature Request"
"This service is terrible and I'm canceling","Complaint"
"I haven't received a response in 3 days","Complaint"
"Where is my order?","Other"
"Your support is slow","Complaint"
"Can you add multi-language support?","Feature Request"
"I need help with login","Account Access"
"I was overcharged","Billing"
"App keeps crashing","Technical Support"
"Want my money back","Refund Request"
